nct_id,title,url,status,conditions,interventions,sponsor,collaborators,study_type,phase
NCT02555657,Study of Single Agent Pembrolizumab (MK-3475) Versus Single Agent Chemotherapy for Metastatic Triple Negative Breast Cancer (MK-3475-119/KEYNOTE-119),https://clinicaltrials.gov/study/NCT02555657,COMPLETED,Metastatic Triple Negative Breast Cancer,BIOLOGICAL: pembrolizumab|DRUG: capecitabine|DRUG: eribulin|DRUG: gemcitabine|DRUG: vinorelbine,Merck Sharp & Dohme LLC,nan,INTERVENTIONAL,Unknown
NCT00473005,Phase I Oral mTOR Inhibitor RAD001 in Combo w/ Capecitabine for Metastatic Breast,https://clinicaltrials.gov/study/NCT00473005,TERMINATED,Breast Cancer,DRUG: Capecitabine|DRUG: RAD001,Stanford University,Novartis,INTERVENTIONAL,Phase 1
NCT00003877,Peripheral Stem Cell Transplantation With or Without Stromagen Following Chemotherapy in Treating Women With Metastatic Breast Cancer,https://clinicaltrials.gov/study/NCT00003877,COMPLETED,Breast Cancer,BIOLOGICAL: filgrastim|DRUG: carboplatin|DRUG: cyclophosphamide|DRUG: paclitaxel|DRUG: thiotepa|PROCEDURE: in vitro-treated bone marrow transplantation|PROCEDURE: in vitro-treated peripheral blood stem cell transplantation,Roswell Park Cancer Institute,National Cancer Institute (NCI),INTERVENTIONAL,Unknown
NCT03048942,Pilot Study of Cabazitaxel and Paclitaxel in HER2 Negative Breast Cancer,https://clinicaltrials.gov/study/NCT03048942,UNKNOWN,HER2 Negative Metastatic Breast Cancer,DRUG: Cabazitaxel|DRUG: Paclitaxel,University Hospitals Bristol and Weston NHS Foundation Trust,nan,INTERVENTIONAL,Unknown
NCT01216033,Exploratory Study of Breast Cancer With ABY025,https://clinicaltrials.gov/study/NCT01216033,COMPLETED,Breast Cancer,DRUG: 111-In-ABY-025,Biomedical Radiation Sciences,Swedish Cancer Society,INTERVENTIONAL,Unknown
NCT05955833,89Zr-DFO*-Trastuzumab PET in Patients With Gastric or Breast Cancer - a Pilot Study,https://clinicaltrials.gov/study/NCT05955833,UNKNOWN,Breast Cancer|Metastatic Breast Cancer|HER2-positive Breast Cancer|Gastric Cancer|Metastatic Gastric Cancer|HER2-positive Gastric Cancer,DIAGNOSTIC_TEST: 89Zr-DFO*-trastuzumab PET scan,"Amsterdam UMC, location VUmc",AstraZeneca,INTERVENTIONAL,Unknown
NCT00077363,Capecitabine and Tipifarnib in Treating Women With Taxane-Resistant Metastatic Breast Cancer,https://clinicaltrials.gov/study/NCT00077363,COMPLETED,Recurrent Breast Cancer|Stage IV Breast Cancer,DRUG: tipifarnib|DRUG: capecitabine,National Cancer Institute (NCI),nan,INTERVENTIONAL,Unknown
NCT04986852,Olinvacimab With Pembrolizumab in Patients With mTNBC,https://clinicaltrials.gov/study/NCT04986852,RECRUITING,Metastatic Triple-Negative Breast Cancer,DRUG: Olinvacimab,PharmAbcine,Merck Sharp & Dohme LLC,INTERVENTIONAL,Unknown
NCT01777958,HELENA Study: An Observational Study of Perjeta (Pertuzumab) in First-Line Treatment in Patients With Her2-Positive Advanced Breast Cancer After Adjuvant Herceptin Therapy,https://clinicaltrials.gov/study/NCT01777958,COMPLETED,Breast Cancer,nan,Hoffmann-La Roche,nan,OBSERVATIONAL,Unknown
NCT04524728,Patterns of Treatment and Outcome of Palbociclib Plus Endocrine Therapy,https://clinicaltrials.gov/study/NCT04524728,COMPLETED,Breast|Neoplasm Malignant|Female,DRUG: Palbociclib|DRUG: Letrozole 2.5mg|DRUG: Fulvestrant,Istituti Clinici Scientifici Maugeri SpA,nan,OBSERVATIONAL,Unknown
NCT00079326,Trastuzumab and Ixabepilone in Treating Women With HER2-Positive Metastatic Breast Cancer,https://clinicaltrials.gov/study/NCT00079326,TERMINATED,HER2-positive Breast Cancer|Recurrent Breast Cancer|Stage IV Breast Cancer,BIOLOGICAL: trastuzumab|DRUG: ixabepilone|OTHER: laboratory biomarker analysis,National Cancer Institute (NCI),nan,INTERVENTIONAL,Unknown
NCT02824575,Rebastinib Plus Antitubulin Therapy With Paclitaxel or Eribulin in Metastatic Breast Cancer,https://clinicaltrials.gov/study/NCT02824575,TERMINATED,Breast Cancer|Breast Adenocarcinoma|Human Epidermal Growth Factor 2 Negative Carcinoma of Breast|Recurrent Breast Carcinoma|Stage IV Breast Cancer,DRUG: Rebastinib|DRUG: Paclitaxel|DRUG: Eribulin Mesylate,Montefiore Medical Center,"Deciphera Pharmaceuticals, LLC|Albert Einstein College of Medicine",INTERVENTIONAL,Unknown
NCT00009763,"Monoclonal Antibody Therapy, Cyclosporine, and Paclitaxel in Treating Patients With Recurrent or Refractory Metastatic Breast Cancer",https://clinicaltrials.gov/study/NCT00009763,UNKNOWN,Breast Cancer,BIOLOGICAL: filgrastim|BIOLOGICAL: monoclonal antibody m170|DRUG: cyclosporine|DRUG: paclitaxel|PROCEDURE: peripheral blood stem cell transplantation|RADIATION: yttrium Y 90 monoclonal antibody m170,"University of California, Davis",nan,INTERVENTIONAL,Unknown
NCT00070031,Edotecarin in Treating Women With Locally Advanced or Metastatic Breast Cancer That Has Not Responded to Chemotherapy,https://clinicaltrials.gov/study/NCT00070031,COMPLETED,Breast Cancer,DRUG: edotecarin,Memorial Sloan Kettering Cancer Center,National Cancer Institute (NCI),INTERVENTIONAL,Unknown
NCT01423123,Combination of Weekly Paclitaxel With Neratinib and Trastuzumab in Women With Metastatic HER2-positive Breast Cancer,https://clinicaltrials.gov/study/NCT01423123,COMPLETED,Breast Cancer,DRUG: Paclitaxel|BIOLOGICAL: trastuzumab|DRUG: Neratinib,NSABP Foundation Inc,Pfizer,INTERVENTIONAL,Unknown
NCT04142060,Targeting the PAM50 Her2-Enriched Phenotype With Enzalutamide in Hormone Receptor-Positive/Her2-Negative Metastatic BC,https://clinicaltrials.gov/study/NCT04142060,TERMINATED,Breast Cancer,DRUG: Enzalutamide,SOLTI Breast Cancer Research Group,nan,INTERVENTIONAL,Unknown
NCT00429871,Randomized Phase III Trial With Docetaxel Plus Epirubicine Versus Docetaxel Plus Capecitabine for Metastatic Breast Cancer,https://clinicaltrials.gov/study/NCT00429871,COMPLETED,Breast Cancer,DRUG: Docetaxel|DRUG: Capecitabine|DRUG: Epirubicin|DRUG: Docetaxel,Hellenic Oncology Research Group,University Hospital of Crete,INTERVENTIONAL,Phase 3
NCT00096109,Tanespimycin in Treating Women With Refractory Locally Advanced or Metastatic Breast Cancer,https://clinicaltrials.gov/study/NCT00096109,TERMINATED,Recurrent Breast Cancer|Stage IIIB Breast Cancer|Stage IIIC Breast Cancer|Stage IV Breast Cancer,DRUG: tanespimycin|OTHER: laboratory biomarker analysis,National Cancer Institute (NCI),nan,INTERVENTIONAL,Unknown
NCT00083031,Metronomic Low-Dose Cyclophosphamide and Methotrexate With or Without Bevacizumab in Treating Women With Metastatic Breast Cancer,https://clinicaltrials.gov/study/NCT00083031,COMPLETED,Breast Cancer,DRUG: bevacizumab|DRUG: cyclophosphamide|DRUG: methotrexate,Dana-Farber Cancer Institute,"National Cancer Institute (NCI)|Genentech, Inc.",INTERVENTIONAL,Unknown
NCT06388122,DiviTum®TKa: A Biomarker Assay for Efficacy in HR+ Metastatic Breast Cancer Patients,https://clinicaltrials.gov/study/NCT06388122,RECRUITING,HER2-negative Breast Cancer|Hormone-receptor-positive Breast Cancer|Metastatic Breast Cancer,PROCEDURE: Biospecimen Collection,Mayo Clinic,nan,OBSERVATIONAL,Unknown
NCT00003392,High-Dose Chemotherapy and Peripheral Stem Cell Transplantation in Treating Patients With Recurrent or Refractory Metastatic Breast Cancer,https://clinicaltrials.gov/study/NCT00003392,COMPLETED,Breast Cancer,BIOLOGICAL: filgrastim|DRUG: carboplatin|DRUG: cyclophosphamide|DRUG: melphalan|DRUG: paclitaxel|PROCEDURE: bone marrow ablation with stem cell support|PROCEDURE: peripheral blood stem cell transplantation,UNC Lineberger Comprehensive Cancer Center,National Cancer Institute (NCI),INTERVENTIONAL,Unknown
NCT00333775,A Study of Bevacizumab (Avastin) in Women With HER2 Negative Metastatic Breast Cancer,https://clinicaltrials.gov/study/NCT00333775,COMPLETED,Breast Cancer,DRUG: Docetaxel|DRUG: Placebo to bevacizumab|DRUG: Bevacizumab,Hoffmann-La Roche,nan,INTERVENTIONAL,Unknown
NCT01610284,Phase III Study of BKM120/Placebo With Fulvestrant in Postmenopausal Patients With Hormone Receptor Positive HER2-negative Locally Advanced or Metastatic Breast Cancer Refractory to Aromatase Inhibitor,https://clinicaltrials.gov/study/NCT01610284,COMPLETED,Breast Cancer,DRUG: Fulvestrant|DRUG: BKM120|DRUG: BKM120 matching placebo,Novartis Pharmaceuticals,nan,INTERVENTIONAL,Phase 3
NCT05464082,"Functional Precision Oncology to Predict, Prevent, and Treat Early Metastatic Recurrence of TNBC",https://clinicaltrials.gov/study/NCT05464082,RECRUITING,Breast Cancer Recurrent,OTHER: Functional Precision Oncology,University of Utah,United States Department of Defense,INTERVENTIONAL,Unknown
NCT03858972,"Tesetaxel Plus Reduced Dose of Capecitabine in Patients With HER2 Negative, HR Positive, LA/MBC",https://clinicaltrials.gov/study/NCT03858972,TERMINATED,Breast Cancer,DRUG: Tesetaxel|DRUG: Capecitabine,"Odonate Therapeutics, Inc.",nan,INTERVENTIONAL,Unknown
NCT00607438,A Phase II Study Of Abraxane and Nexavar in the First-Line Treatment of Locally Advanced or Metastatic Breast Cancer,https://clinicaltrials.gov/study/NCT00607438,TERMINATED,Breast Cancer,DRUG: Paclitaxel Albumin Nanoparticle for Injectable Suspension (Abraxane)|DRUG: Sorafenib (Nexavar),Veeda Oncology,Bayer|Celgene Corporation,INTERVENTIONAL,Phase 2
NCT00085020,GW572016 and Trastuzumab in Treating Patients With Metastatic Breast Cancer That Overexpresses HER2/Neu,https://clinicaltrials.gov/study/NCT00085020,COMPLETED,Breast Cancer,BIOLOGICAL: trastuzumab|DRUG: lapatinib ditosylate,Jonsson Comprehensive Cancer Center,GlaxoSmithKline,INTERVENTIONAL,Unknown
NCT05572645,Pyrotinib Plus Trastuzumab Versus Pertuzumab Plus Trastuzumab,https://clinicaltrials.gov/study/NCT05572645,COMPLETED,Breast Cancer,DRUG: Pyrotinib Plus Trastuzumab|DRUG: Pertuzumab Plus Trastuzumab,Fudan University,nan,OBSERVATIONAL,Unknown
NCT00159458,Clinical Trial of Gemcitabine and Oxaliplatin in Recurrent or Metastatic Breast Cancer,https://clinicaltrials.gov/study/NCT00159458,TERMINATED,Recurrent Breast Cancer|Metastastic Breast Cancer,DRUG: Gemcitabine and oxaliplatin,University of Southern California,nan,INTERVENTIONAL,Unknown
NCT00305825,Bevacizumab and Letrozole in Treating Postmenopausal Women With Locally Advanced or Metastatic Breast Cancer That Cannot Be Removed By Surgery,https://clinicaltrials.gov/study/NCT00305825,COMPLETED,Breast Cancer,BIOLOGICAL: bevacizumab|DRUG: letrozole,"University of California, San Francisco",National Cancer Institute (NCI)|Memorial Sloan Kettering Cancer Center,INTERVENTIONAL,Unknown
NCT06331169,Anlotinib With Trastuzumab Deruxtecan for Previously Treated HER2-Low Advanced Breast Cancer,https://clinicaltrials.gov/study/NCT06331169,RECRUITING,Breast Cancer,DRUG: Anlotinib|DRUG: Trastuzumab deruxtecan,Fudan University,nan,INTERVENTIONAL,Unknown
NCT04274933,"A Study to Evaluate the Safety and Tolerability of Venetoclax Tablets in Combination With Capecitabine Tablets in Adult Participants With Hormone Receptor-Positive, HER2-Negative Locally Advanced or Metastatic Breast Cancer Who Had Disease Progression During or After CDK4/6 Inhibitor Therapy",https://clinicaltrials.gov/study/NCT04274933,TERMINATED,Breast Cancer|Cancer,DRUG: Venetoclax|DRUG: Capecitabine,AbbVie,nan,INTERVENTIONAL,Unknown
NCT05346328,HER2-positive Breast Cancer Project Initiated by Investigators,https://clinicaltrials.gov/study/NCT05346328,UNKNOWN,Breast Cancer,DRUG: Injection of A166,Fudan University,nan,INTERVENTIONAL,Unknown
NCT00077376,"Trastuzumab, Ixabepilone, and Carboplatin in Treating Patients With HER2/Neu-Positive Metastatic Breast Cancer",https://clinicaltrials.gov/study/NCT00077376,COMPLETED,HER2-positive Breast Cancer|Male Breast Cancer|Recurrent Breast Cancer|Stage IV Breast Cancer,BIOLOGICAL: trastuzumab|DRUG: ixabepilone|DRUG: carboplatin|OTHER: laboratory biomarker analysis,National Cancer Institute (NCI),nan,INTERVENTIONAL,Unknown
NCT05008510,P2 Clinical Efficacy & Safety Study of V-111 Monotherapy & Sacituzumab Govitecan-hziy/V-111 Combo Therapy for mTNBC .,https://clinicaltrials.gov/study/NCT05008510,WITHDRAWN,Metastatic Triple Negative Breast Cancer,DRUG: Sabizabulin|DRUG: Sacituzumab Govitecan-hziy|DRUG: Sabizabulin/Sacituzumab govitecan-hziy Combo,Veru Inc.,nan,INTERVENTIONAL,Unknown
NCT04762901,LCI-BRE-MTN-NIR-001:Ph I Study of Niraparib in Combo With Standard Chemo in Metastatic Trip Neg Breast Cancer,https://clinicaltrials.gov/study/NCT04762901,WITHDRAWN,Breast Cancer,DRUG: Niraparib|DRUG: Doxorubicin|DRUG: Cyclophosphamide|DRUG: Paclitaxel|DRUG: Pegfilgrastim|DRUG: Carboplatin,Wake Forest University Health Sciences,"Tesaro, Inc.",INTERVENTIONAL,Unknown
NCT05770713,A Real-life Study to Learn About the Use and Effects of the CDK4/6 Inhibitors in Canadian Patients With Breast Cancer.,https://clinicaltrials.gov/study/NCT05770713,COMPLETED,Breast Cancer,nan,Pfizer,nan,OBSERVATIONAL,Unknown
NCT01526499,Docetaxel With or Without Metronomic Cyclophosphamide as First Line Chemotherapy in Metastatic Breast Cancer,https://clinicaltrials.gov/study/NCT01526499,UNKNOWN,Breast Cancer,DRUG: Docetaxel and Cyclophosphamide (TC)|DRUG: Docetaxel (T),Fudan University,nan,INTERVENTIONAL,Unknown
NCT06568692,A Phase 2 Study of PCS6422 With Capecitabine in Patients With Advanced or Metastatic Breast Cancer,https://clinicaltrials.gov/study/NCT06568692,RECRUITING,Breast Cancer|TNBC - Triple-Negative Breast Cancer|HER2-negative Breast Cancer,DRUG: PCS6422 and capecitabine|DRUG: Capecitabine,Processa Pharmaceuticals,nan,INTERVENTIONAL,Phase 2
NCT00003920,Monoclonal Antibody Therapy Plus Cyclosporine and Peripheral Stem Cell Transplantation in Treating Patients With Metastatic Breast Cancer,https://clinicaltrials.gov/study/NCT00003920,UNKNOWN,Breast Cancer,BIOLOGICAL: filgrastim|DRUG: cyclosporine|PROCEDURE: peripheral blood stem cell transplantation|RADIATION: indium In 111 monoclonal antibody m170|RADIATION: yttrium Y 90 monoclonal antibody m170,"University of California, Davis",nan,INTERVENTIONAL,Unknown
NCT02858063,Psychometric Validation (Quality-of-life Scale) in Young Women With a Non Metastatic Breast Cancer and Her Partner,https://clinicaltrials.gov/study/NCT02858063,COMPLETED,Breast Cancer,nan,Centre Oscar Lambret,Université Lille 3,OBSERVATIONAL,Unknown
NCT02499367,Nivolumab After Induction Treatment in Triple-negative Breast Cancer (TNBC) Patients,https://clinicaltrials.gov/study/NCT02499367,UNKNOWN,Breast Cancer,DRUG: Nivolumab|RADIATION: Radiation therapy|DRUG: Low dose doxorubicin|DRUG: Cyclophosphamide|DRUG: Cisplatin,The Netherlands Cancer Institute,Bristol-Myers Squibb,INTERVENTIONAL,Unknown
NCT00553358,Neo ALTTO (Neoadjuvant Lapatinib and/or Trastuzumab Treatment Optimisation) Study,https://clinicaltrials.gov/study/NCT00553358,COMPLETED,"Neoplasms, Breast",DRUG: Lapatinib|BIOLOGICAL: Trastuzumab|DRUG: Paclitaxel,Novartis Pharmaceuticals,Breast International Group|SOLTI Breast Cancer Research Group,INTERVENTIONAL,Unknown
NCT00131924,High-Dose Esterified Estrogens in Treating Postmenopausal Women With Metastatic Breast Cancer That Has Failed Previous Hormone Therapy,https://clinicaltrials.gov/study/NCT00131924,TERMINATED,Breast Cancer,BIOLOGICAL: esterified estrogens,Northwestern University,National Cancer Institute (NCI),INTERVENTIONAL,Unknown
NCT00788333,Combination Study of BMS-754807 and Herceptin® in Patients With Advanced or Metastatic Her-2-positive Breast Cancer,https://clinicaltrials.gov/study/NCT00788333,COMPLETED,Breast Cancer,DRUG: BMS-754807|DRUG: trastuzumab (Herceptin®),Bristol-Myers Squibb,nan,INTERVENTIONAL,Unknown
NCT01068704,Efficacy and Safety of BMS-690514 in Combination With Letrozole to Treat Metastatic Breast Cancer,https://clinicaltrials.gov/study/NCT01068704,COMPLETED,Breast Cancer,DRUG: BMS-690514|DRUG: Lapatinib|DRUG: Letrozole,Bristol-Myers Squibb,nan,INTERVENTIONAL,Unknown
NCT01373710,Intrathecal Trastuzumab Administration in Metastatic Breast Cancer Patients Developing Carcinomatous Meningitis,https://clinicaltrials.gov/study/NCT01373710,COMPLETED,Metastatic Breast Cancer|Carcinomatous Meningitis,DRUG: Trastuzumab,Institut Curie,"Hoffmann-La Roche|Centre Leon Berard|Groupe Hospitalier Pitie-Salpetriere|Centre Oscar Lambret|Centre Francois Baclesse|Institut Bergonié|University Hospital, Toulouse|Institut du Cancer de Montpellier - Val d'Aurelle|University Hospital, Grenoble",INTERVENTIONAL,Unknown
